,schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium
3090,2012,ARI,24,21,MIA,ARI,-4.0,39.5,University of Phoenix Stadium
3091,2012,ATL,30,28,CAR,ATL,-7.0,48.0,Georgia Dome
3092,2012,BUF,28,52,NE,NE,-4.5,48.5,New Era Field
3093,2012,DEN,37,6,LVR,DEN,-6.5,47.0,Sports Authority Field at Mile High
3094,2012,DET,13,20,MIN,DET,-4.0,48.5,Ford Field
3095,2012,GB,28,27,NO,GB,-7.5,54.0,Lambeau Field
3096,2012,HOU,38,14,TEN,HOU,-13.5,45.0,NRG Stadium
3097,2012,JAX,10,27,CIN,JAX,-1.5,45.5,TIAA Bank Field
3098,2012,KC,20,37,LAC,LAC,-2.5,43.5,Arrowhead Stadium
3099,2012,NYJ,0,34,SF,SF,-4.0,41.0,MetLife Stadium
3100,2012,PHI,19,17,NYG,PHI,-1.5,46.5,Lincoln Financial Field
3101,2012,LAR,19,13,SEA,SEA,-2.5,39.0,Edward Jones Dome
3102,2012,TB,22,24,WAS,TB,-2.0,45.0,Raymond James Stadium
3103,2012,DAL,18,34,CHI,DAL,-3.0,41.5,AT&T Stadium
3104,2012,LAR,17,3,ARI,ARI,-1.5,38.0,Edward Jones Dome
3105,2012,CAR,12,16,SEA,CAR,-2.0,42.0,Bank of America Stadium
3106,2012,CIN,13,17,MIA,CIN,-3.0,45.0,Paul Brown Stadium
3107,2012,IND,30,27,GB,GB,-6.5,49.0,Lucas Oil Stadium
3108,2012,JAX,3,41,CHI,CHI,-6.5,40.0,TIAA Bank Field
3109,2012,KC,6,9,BAL,BAL,-6.5,47.0,Arrowhead Stadium
3110,2012,MIN,30,7,TEN,MIN,-6.0,44.0,Mall of America Field
3111,2012,NE,31,21,DEN,NE,-6.0,51.5,Gillette Stadium
3112,2012,NO,31,24,LAC,NO,-3.5,52.5,Mercedes-Benz Superdome
3113,2012,NYG,41,27,CLE,NYG,-8.0,44.0,MetLife Stadium
3114,2012,PIT,16,14,PHI,PIT,-4.0,44.0,Heinz Field
3115,2012,SF,45,3,BUF,SF,-10.0,45.0,Candlestick Park
3116,2012,WAS,17,24,ATL,ATL,-3.0,51.0,FedEx Field
3117,2012,NYJ,17,23,HOU,HOU,-10.0,41.0,MetLife Stadium
3118,2012,TEN,26,23,PIT,PIT,-6.5,43.0,Nissan Stadium
3119,2012,ARI,16,19,BUF,ARI,-5.0,44.0,University of Phoenix Stadium
3120,2012,ATL,23,20,LVR,ATL,-10.0,49.0,Georgia Dome
3121,2012,BAL,31,29,DAL,BAL,-3.0,45.0,M&T Bank Stadium
3122,2012,CLE,34,24,CIN,CIN,-2.0,42.0,FirstEnergy Stadium
3123,2012,HOU,24,42,GB,HOU,-4.0,46.5,NRG Stadium
3124,2012,MIA,17,14,LAR,MIA,-5.0,38.0,Hard Rock Stadium
3125,2012,NYJ,35,9,IND,NYJ,-3.0,44.0,MetLife Stadium
3126,2012,PHI,23,26,DET,PHI,-3.5,47.5,Lincoln Financial Field
3127,2012,SF,3,26,NYG,SF,-7.0,46.5,Candlestick Park
3128,2012,SEA,24,23,NE,NE,-4.0,42.5,CenturyLink Field
3129,2012,TB,38,10,KC,TB,-5.0,39.5,Raymond James Stadium
3130,2012,WAS,38,26,MIN,MIN,-2.0,44.0,FedEx Field
3131,2012,LAC,24,35,DEN,PICK,0.0,47.5,Qualcomm Stadium
3132,2012,SF,13,6,SEA,SF,-7.5,37.5,Candlestick Park
3133,2012,BUF,34,35,TEN,BUF,-4.5,46.5,New Era Field
3134,2012,CAR,14,19,DAL,DAL,-2.5,45.0,Bank of America Stadium
3135,2012,CIN,17,24,PIT,CIN,-1.0,45.5,Paul Brown Stadium
3136,2012,HOU,43,13,BAL,HOU,-6.5,47.5,NRG Stadium
3137,2012,IND,17,13,CLE,IND,-1.0,46.5,Lucas Oil Stadium
3138,2012,MIN,21,14,ARI,MIN,-6.5,39.5,Mall of America Field
3139,2012,NE,29,26,NYJ,NE,-10.5,47.0,Gillette Stadium
3140,2012,NYG,27,23,WAS,NYG,-6.5,51.5,MetLife Stadium
3141,2012,LVR,26,23,JAX,LVR,-6.0,44.0,Oakland Coliseum
3142,2012,LAR,20,30,GB,GB,-5.0,45.0,Edward Jones Dome
3143,2012,TB,28,35,NO,NO,-1.5,49.5,Raymond James Stadium
3144,2012,CHI,13,7,DET,CHI,-6.5,47.0,Soldier Field
3145,2012,MIN,17,36,TB,MIN,-5.5,43.0,Mall of America Field
3146,2012,CHI,23,22,CAR,CHI,-7.5,41.5,Soldier Field
3147,2012,CLE,7,6,LAC,LAC,-3.0,41.0,FirstEnergy Stadium
3148,2012,DAL,24,29,NYG,NYG,-2.5,48.0,AT&T Stadium
3149,2012,DEN,34,14,NO,DEN,-6.5,55.0,Sports Authority Field at Mile High
3150,2012,DET,28,24,SEA,DET,-3.0,42.5,Ford Field
3151,2012,GB,24,15,JAX,GB,-16.0,45.5,Lambeau Field
3152,2012,KC,16,26,LVR,KC,-1.0,42.5,Arrowhead Stadium
3153,2012,NYJ,9,30,MIA,NYJ,-1.0,39.0,MetLife Stadium
3154,2012,PHI,17,30,ATL,PHI,-3.0,43.0,Lincoln Financial Field
3155,2012,PIT,27,12,WAS,PIT,-4.5,44.0,Heinz Field
3156,2012,TEN,13,19,IND,TEN,-3.0,47.0,Nissan Stadium
3157,2012,ARI,3,24,SF,SF,-7.0,38.5,University of Phoenix Stadium
3158,2012,LAC,31,13,KC,LAC,-7.0,41.0,Qualcomm Stadium
3159,2012,ATL,19,13,DAL,ATL,-4.5,47.5,Georgia Dome
3160,2012,CIN,23,31,DEN,DEN,-5.5,47.5,Paul Brown Stadium
3161,2012,CLE,15,25,BAL,BAL,-3.5,44.0,FirstEnergy Stadium
3162,2012,GB,31,17,ARI,GB,-10.5,43.5,Lambeau Field
3163,2012,HOU,21,9,BUF,HOU,-11.5,48.0,NRG Stadium
3164,2012,IND,23,20,MIA,MIA,-2.0,43.5,Lucas Oil Stadium
3165,2012,JAX,14,31,DET,DET,-6.0,44.0,TIAA Bank Field
3166,2012,NYG,20,24,PIT,NYG,-3.5,47.5,MetLife Stadium
3167,2012,LVR,32,42,TB,LVR,-1.0,47.5,Oakland Coliseum
3168,2012,SEA,30,20,MIN,SEA,-4.0,38.5,CenturyLink Field
3169,2012,TEN,20,51,CHI,CHI,-5.0,43.5,Nissan Stadium
